笑う/わらう+芸人/げいにん 連用形名詞化
鋳る/いる+銭/ぜに 連用形名詞化
待てる/まてる+ぃ 連用形名詞化
空く/あく+店舗/てんぽ 連用形名詞化
得る/える+櫨/ろ 連用形名詞化
さすらう/さすらう+エマノン 連用形名詞化
射る/いる+椴/とど 連用形名詞化
射る/いる+ηЪ 連用形名詞化
呟く/つぶやく+シロー 連用形名詞化
取る/とる+憑 連用形名詞化
溶く/とく+パテ/ぱて 連用形名詞化
射る/いる+發 連用形名詞化
引き籠る/ひきこもる+ＫＨＪ 連用形名詞化
つっかえる/つっかえる+棒/ぼう 連用形名詞化
蘇れる/よみがえれる+嘉穂 連用形名詞化
疲れる/つかれる+様/さま 連用形名詞化
遊ぶ/あそぶ+Ｇｉｇｏｌｏ 連用形名詞化
覆う/おおう+任/にん 連用形名詞化
毀れる/こぼれる+玉/たま 連用形名詞化
折り畳む/おりたたむ+式/しき 連用形名詞化
朽ちる/くちる+コミマーケティング 連用形名詞化
ときめく/ときめく+パーティーセンセーション 連用形名詞化
ど突く/どつく+漫才/まんざい 連用形名詞化
聞き取る/ききとる+調査/ちょうさ 連用形名詞化
怠ける/なまける+癖/くせ 連用形名詞化
居眠る/いねむる+運航/うんこう 連用形名詞化
燃え尽きる/もえつきる+症候/しょうこう 連用形名詞化
併せる/あわせる+走 連用形名詞化
刈る/かる+油脂/ゆし 連用形名詞化
透ける/すける+ｈａｃｋｓ 連用形名詞化
座る/すわる+心地/ここち 連用形名詞化
触れ合う/ふれあう+広場/ひろば 連用形名詞化
乗り越す/のりこす+精算/せいさん 連用形名詞化
射る/いる+錣 連用形名詞化
覆う/おおう+隼/はやぶさ 連用形名詞化
差し出る/さしでる+人名/じんめい 連用形名詞化
押し出す/おしだす+四球/しきゅう 連用形名詞化
切り込む/きりこむ+隊長/たいちょう 連用形名詞化
居る/いる+宅/たく 連用形名詞化
射る/いる+ζ 連用形名詞化
申し込む/もうしこむ+用紙/ようし 連用形名詞化
射る/いる+弔 連用形名詞化
行き当たる/いきあたる+バータリ 連用形名詞化
真似る/まねる+フロンティアネットワーク 連用形名詞化
据える/すえる+膳/ぜん 連用形名詞化
照れる/てれる+微/び 連用形名詞化
這う/はう+すり/すり 連用形名詞化
売り切れる/うりきれる+続出/ぞくしゅつ 連用形名詞化
射る/いる+諭 連用形名詞化
ときめく/ときめく+メモリアルガールズサイド 連用形名詞化
招く/まねく+猫/ねこ 連用形名詞化
込む/こむ+パ 連用形名詞化
乗ずる/じょうずる+コボウズ 連用形名詞化
掘る/ほる+炬燵/こたつ 連用形名詞化
覆う/おおう+茲 連用形名詞化
絡める/からめる+ディープキス 連用形名詞化
生きる/いきる+甲斐/かい 連用形名詞化
揺らす/ゆらす+大喜び/おおよろこび 連用形名詞化
拗ねる/すねる+♪ 連用形名詞化
ぶれる/ぶれる+補正/ほせい 連用形名詞化
突っ張る/つっぱる+ハイスクールロックンロール 連用形名詞化
ゆける/ゆける+トラブルメーカーズ 連用形名詞化
洒落る/しゃれる+こうべ/こうべ 連用形名詞化
ぐれる/ぐれる+ひでこ 連用形名詞化
溶く/とく+メモスレ 連用形名詞化
入れ替える/いれかえる+戦/いくさ 連用形名詞化
申し込む/もうしこむ+フォーム/ふぉーむ 連用形名詞化
切る/きる+拓 連用形名詞化
剃れる/それる+苑/その 連用形名詞化
見積もる/みつもる+依頼/いらい 連用形名詞化
射る/いる+Φ 連用形名詞化
飲む/のむ+会/かい 連用形名詞化
干す/ほす+貝柱/かいばしら 連用形名詞化
冷える/ひえる+ピタ 連用形名詞化
拭う/ぬぐう+去 連用形名詞化
巻き戻す/まきもどす+クランク 連用形名詞化
得る/える+稚児/ちご 連用形名詞化
寝る/ねる+胃酸/いさん 連用形名詞化
妬く/やく+卯/う 連用形名詞化
擽る/くすぐる+児島 連用形名詞化
振る/ふる+飛車/ひしゃ 連用形名詞化
侘びる/わびる+証文/しょうもん 連用形名詞化
繰り込む/くりこむ+群/ぐん 連用形名詞化
射る/いる+┐ 連用形名詞化
来る/くる+佐武郎 連用形名詞化
切れる/きれる+いな子 連用形名詞化
射る/いる+ν 連用形名詞化
射る/いる+Τ 連用形名詞化
恋う/こう+否/いな 連用形名詞化
射る/いる+Χ 連用形名詞化
射る/いる+独楽/こま 連用形名詞化
射る/いる+笋 連用形名詞化
隠れる/かくれる+マルコフ 連用形名詞化
欲張る/よくばる+マイキット 連用形名詞化
換える/かえる+食品/しょくひん 連用形名詞化
似せる/にせる+ＢＯＪ 連用形名詞化
乗り合う/のりあう+タクシー/たくしー 連用形名詞化
射る/いる+岩/いわ 連用形名詞化
折り込む/おりこむ+広告/こうこく 連用形名詞化
射る/いる+コーリャン 連用形名詞化
刷る/する+胡麻/ごま 連用形名詞化
干す/ほす+胼胝/たこ 連用形名詞化
ぼやく/ぼやく+。。。： 連用形名詞化
締め付ける/しめつける+トルク 連用形名詞化
夢見る/ゆめみる+心地/ここち 連用形名詞化
とぼける/とぼける+Ｙａｓ 連用形名詞化
引き籠る/ひきこもる+サポートナビ 連用形名詞化
報ずる/ほうずる+茶/ちゃ 連用形名詞化
飛び越える/とびこえる+ビークル 連用形名詞化
生きる/いきる+ざま/ざま 連用形名詞化
弔う/とむらう+胴/どう 連用形名詞化
ぐれる/ぐれる+メタル 連用形名詞化
射る/いる+覆 連用形名詞化
撒き散らす/まきちらす+ＡＶ 連用形名詞化
利く/きく+酒/さけ 連用形名詞化
射る/いる+Σ 連用形名詞化
積む/つむ+ゲー 連用形名詞化
射る/いる+箸/はし 連用形名詞化
射る/いる+ＵＧ 連用形名詞化
捩じる/ねじる+鉢巻き/はちまき 連用形名詞化
立ち入る/たちいる+検査/けんさ 連用形名詞化
割り込む/わりこむ+横取り/よこどり 連用形名詞化
翔ぶ/とぶ+びり/びり 連用形名詞化
下せる/くだせる+ぇ 連用形名詞化
帰れる/かえれる+ソレント 連用形名詞化
浮かれる/うかれる+ポンチ 連用形名詞化
積み出す/つみだす+港/みなと 連用形名詞化
はぐれる/はぐれる+刑事/けいじ 連用形名詞化
得る/える+利己/りこ 連用形名詞化
射る/いる+茵 連用形名詞化
覆う/おおう+鵑 連用形名詞化
射る/いる+字句/じく 連用形名詞化
押し掛ける/おしかける+女房/にょうぼう 連用形名詞化
踏む/ふむ+跡/あと 連用形名詞化
刺せる/させる+使徒/しと 連用形名詞化
蒸す/むす+歯/は 連用形名詞化
焼く/やく+ビーフン 連用形名詞化
射る/いる+卯/う 連用形名詞化
駆け込む/かけこむ+寺/てら 連用形名詞化
焼く/やく+ビビンバ 連用形名詞化
愚痴る/ぐちる+アサ 連用形名詞化
死ねる/しねる+卯/う 連用形名詞化
射る/いる+鵑 連用形名詞化
選り抜く/えりぬく+キテレツ 連用形名詞化
潤う/うるおう+リップ 連用形名詞化
そそる/そそる+ターザン 連用形名詞化
剃れる/それる+茶/ちゃ 連用形名詞化
粧す/めかす+卯/う 連用形名詞化
濁る/にごる+酒/さけ 連用形名詞化
はぐれる/はぐれる+アントマン 連用形名詞化
振れる/ふれる+愛市 連用形名詞化
鋳る/いる+鋼/はがね 連用形名詞化
ときめく/ときめく+ランジェリープリンセス 連用形名詞化
透ける/すける+投打/とうだ 連用形名詞化
値上がる/ねあがる+銘柄/めいがら 連用形名詞化
使い捨てる/つかいすてる+カメラ/かめら 連用形名詞化
舞う/まう+亭/ちん 連用形名詞化
射る/いる+利己/りこ 連用形名詞化
拗ねる/すねる+ぇ 連用形名詞化
勝つ/かつ+ゅ 連用形名詞化
強いる/しいる+ひさ 連用形名詞化
射る/いる+韻/いん 連用形名詞化
千切る/ちぎる+絵/え 連用形名詞化
揚げる/あげる+油/あぶら 連用形名詞化
巻き上げる/まきあげる+レバー/ればー 連用形名詞化
茹でる/ゆでる+汁/しる 連用形名詞化
千切る/ちぎる+キャベツ/きゃべつ 連用形名詞化
出る/でる+來 連用形名詞化
分捕る/ぶんどる+合戦/かっせん 連用形名詞化
かすむ/かすむ+草/くさ 連用形名詞化
晴れる/はれる+後/のち 連用形名詞化
支払う/しはらう+方法/ほうほう 連用形名詞化
射る/いる+茲 連用形名詞化
食い込む/くいこむ+アダルトグッズプロザック 連用形名詞化
投げる/なげる+銭/ぜに 連用形名詞化
兼ねる/かねる+ットトップ 連用形名詞化
受け入れる/うけいれる+態勢/たいせい 連用形名詞化
尖んがる/とんがる+コーン/こーん 連用形名詞化
和える/あえる+物/もの 連用形名詞化
燻る/いぶる+括弧/かっこ 連用形名詞化
走れる/はしれる+コウタロー 連用形名詞化
正す/ただす+書/しょ 連用形名詞化
射る/いる+βμ 連用形名詞化
ゆける/ゆける+ガイコッツ 連用形名詞化
射る/いる+靴/くつ 連用形名詞化
ぶつ/ぶつ+かます/かます 連用形名詞化
振り替える/ふりかえる+休日/きゅうじつ 連用形名詞化
刻む/きざむ+葱/ねぎ 連用形名詞化
診る/みる+連携/れんけい 連用形名詞化
勝ち抜く/かちぬく+戦/いくさ 連用形名詞化
来る/くる+盆/ぼん 連用形名詞化
鳴く/なく+砂/すな 連用形名詞化
僻む/ひがむ+根性/こんじょう 連用形名詞化
着る/きる+メロ 連用形名詞化
射る/いる+ι 連用形名詞化
削る/けずる+節/ふし 連用形名詞化
買い上げる/かいあげる+金額/きんがく 連用形名詞化
食い込む/くいこむ+トップレスベスト 連用形名詞化
読み上げる/よみあげる+ボイスダイヤル 連用形名詞化
射る/いる+Ρ 連用形名詞化
死ねる/しねる+ぇ 連用形名詞化
剥げる/はげる+宍 連用形名詞化
口説く/くどく+文句/もんく 連用形名詞化
目指せる/めざせる+プロスピナー 連用形名詞化
煮る/にる+古語/こご 連用形名詞化
射る/いる+反吐/へど 連用形名詞化
写せる/うつせる+蓑/みの 連用形名詞化
来る/くる+ゅ 連用形名詞化
尽くせる/つくせる+利/り 連用形名詞化
巻き戻す/まきもどす+ノブ 連用形名詞化
射る/いる+ぃ 連用形名詞化
這う/はう+つくば 連用形名詞化
優れる/すぐれる+物/もの 連用形名詞化
食い込む/くいこむ+ローターパンチラ 連用形名詞化
問う/とう+いつ 連用形名詞化
晒す/さらす+ａｇｅ 連用形名詞化
居眠る/いねむる+運転/うんてん 連用形名詞化
貸し切る/かしきる+状態/じょうたい 連用形名詞化
出会う/であう+ステーション/すてーしょん 連用形名詞化
覆う/おおう+箸/はし 連用形名詞化
茹でる/ゆでる+加減/かげん 連用形名詞化
引き立てる/ひきたてる+役/やく 連用形名詞化
剃れる/それる+傘/かさ 連用形名詞化
干る/ひる+ゅ 連用形名詞化
